city,alias
"Springfield","springfield"
"Columbus","columbus"
"Burlington","burlington"
"Lebanon","lebanon"
"Middletown","middletown"
"Concord","concord"
"Ashland","ashland"
"Madison","madison"
"Farmington","farmington"
"Auburn","auburn"
"Clinton","clinton"
"Lakewood","lakewood"
"Florence","florence"
"Lexington","lexington"
"Greenville","greenville"
"Columbia","columbia"
"Plainfield","plainfield"
"Jackson","jackson"
"Watertown","watertown"
"Jacksonville","jacksonville"
"New York","NY"
"Boston","boston"
